Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,1698.00692240161,2192.66597959689,2411.85949606936,2449.30190803207,2819.68946640512,3612.15951448199,4066.84202921958,4076.35283820205,4483.23688767509,4351.37460479457,4492.72760355938,4981.1986188017,5196.93292103894,5693.37776322597,6639.96305157638,7976.06676764026,8999.73962660636,11247.5514811334,13906.2181999449,11440.5781321257,12597.4587924553,13891.14168806,13142.0459946086,13776.4547643996,14337.2063674308,12494.4661900747,..
Poland,POL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,-7.34479101398449,2.2010658661186,3.47468277389751,5.07085551499688,6.8067989238197,6.15812713243815,7.01620974516273,4.94410625535156,4.53287736385144,5.35433075023252,1.23322508457137,1.49049762705297,3.63245370266721,5.19719152501874,3.59257566520755,6.26000579210604,7.25991512497657,3.90620822624884,2.56465668177628,3.99546432449314,4.95206416344205,1.56194953103397,1.32584700735679,3.35987009764609,3.68310842296589,..
Poland,POL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,-7.01557881088655,2.51497862631298,3.73831030900784,5.29280205906156,6.95185663018788,6.2389167858055,7.08628053063975,4.98163394621753,4.52419861771531,4.25980339652656,1.20530160032114,1.44349919257041,3.56253295823467,5.13565577586095,3.54705781551471,6.19268954779022,7.20168341855494,3.92037927663655,2.63418135634824,3.69886754774211,5.00851175729775,1.5617067210744,1.26470516286732,3.28253807593806,3.64971913068008,..
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,64712371654.1385,83861126240.1965,92527774557.9928,94203600000,108678309851.718,139411289237.113,157079211268.128,157549651236.544,173337544225.125,168225321443.876,171885598582.637,190521263343.023,198680637254.902,217513049291.61,253528543307.087,304410137536.702,343261472028.873,428762961089.635,530185123692.512,436476394987.34,479242529764.866,528742068313.757,500227851988.331,524059039422.894,544982089079.093,474783393022.947,..
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,22219.5725271486,23269.3817972445,26333.537444515,25488.5195189314,27087.5584535617,31729.6997633451,30564.2478058387,27045.7191273318,27340.6728848884,26795.9911316814,23718.746699471,23687.3168928198,25205.164445175,30359.9521525666,34165.9340305131,34696.62091671,36447.8723183195,41814.8190965222,45699.1983232962,41732.707253158,41788.0447853084,45936.0812598523,44010.9313869814,45600.7745095204,47767.0019056435,41219.049207038,..
Germany,DEU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.35163905751361,4.34522004153158,1.15177125116625,-1.60513530528513,2.10260723179756,1.43906815827275,0.526477107366105,1.70029072614157,1.96417613897277,1.9212372937244,2.82269660443546,1.52453769484924,-0.167987062923132,-0.764861234086325,1.19193652221034,0.763909705673285,3.81719675220205,3.39870617015168,1.27469903780695,-5.37941105028064,4.23950434523579,3.63371310670782,2.11781505045485,-1.7865998329556,3.04286539054408,1.14983386419485,..
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.25500608609781,5.10826150794557,1.92380701113764,-0.956165307017542,2.45737182000684,1.73764063121563,0.817897617014211,1.84920066980847,1.97961840703675,1.98713494928661,2.96204536784524,1.69547145188611,0,-0.709906171880789,1.16997041286515,0.70671394810023,3.70015957205484,3.26053529682157,1.08231540391905,-5.61886043465857,4.07993330487069,3.66000015503516,0.405170675144007,0.29784758571904,1.59977039232734,1.68772378120711,..
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1764967948916.6,1861873895109.02,2123130870381.97,2068555542410.98,2205966011811.5,2591620035485.19,2503665193657.4,2218689375140.99,2243225519617.65,2199957383336.88,1949953934033.54,1950648769574.94,2079136081309.99,2505733634311.51,2819245095604.67,2861410272354.18,3002446368084.31,3439953462907.2,3752365607148.09,3418005001389.27,3417298013245.03,3757464553794.83,3539615377794.51,3745317149399.13,3868291231823.77,3355772429854.72,..
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,1704.74030406477,1747.43867127761,1666.22751294157,1590.03540902938,1460.01754360249,1370.67270975184,1452.44700181708,1396.50216637274,1511.77026798131,1209.61488077994,1273.0491239487,1244.4419967652,1479.46532113219,1819.4790277163,2378.37489391196,3126.36777779462,3848.58620300891,4735.95688918873,6376.17311491284,5176.04470138203,5818.8548592158,6305.77366247653,6721.83490773968,7722.12335060436,8025.30435552468,5740.45649479562,..
Belarus,BLR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,-1.24845987835901,-9.79467501957747,-7.80755933196606,-11.5963919037841,-10.1099470276634,3.14401574803162,11.8734802807156,8.91675439467672,3.75033383158939,6.1172413793104,5.53753893963092,5.71610886258192,7.78616880069877,12.2171769224953,10.1585428955811,10.6757600999583,9.09983263612253,10.5701091520718,0.421331650407012,7.93378366874254,5.73311746699537,1.82813493862413,1.05224571976734,1.54072889411209,-4.19079626799829,..
